 5.16901e-07 1.89418e-07 0  0.483099 0.87244 0 
 5.22427e-07 1.92675e-07 0  0.477573 0.875466 0 
 5.27972e-07 1.95967e-07 0  0.472028 0.878458 0 
 5.33536e-07 1.99293e-07 0  0.466464 0.881414 0 
 5.39119e-07 2.02655e-07 0  0.460881 0.884336 0 
 5.44719e-07 2.06052e-07 0  0.455281 0.887222 0 
 5.50338e-07 2.09484e-07 0  0.449662 0.890073 0 
 5.55975e-07 2.12952e-07 0  0.444025 0.892889 0 
 5.61629e-07 2.16455e-07 0  0.438371 0.895669 0 
 5.67301e-07 2.19994e-07 0  0.432699 0.898413 0 
 5.7299e-07 2.23569e-07 0  0.42701 0.901122 0 
 5.78697e-07 2.27179e-07 0  0.421303 0.903794 0 
 5.84419e-07 2.30826e-07 0  0.415581 0.906431 0 
 5.90159e-07 2.34508e-07 0  0.409841 0.909032 0 
 5.95915e-07 2.38227e-07 0  0.404085 0.911596 0 
 6.01687e-07 2.41982e-07 0  0.398313 0.914124 0 
 6.07474e-07 2.45774e-07 0  0.392526 0.916616 0 
 6.13278e-07 2.49602e-07 0  0.386722 0.919071 0 
 6.19096e-07 2.53466e-07 0  0.380904 0.92149 0 
 6.2493e-07 2.57367e-07 0  0.37507 0.923871 0 
 6.30779e-07 2.61305e-07 0  0.369221 0.926217 0 
 6.36643e-07 2.6528e-07 0  0.363357 0.928525 0 
 6.42521e-07 2.69292e-07 0  0.357479 0.930796 0 
 6.48413e-07 2.73341e-07 0  0.351587 0.93303 0 
 6.54319e-07 2.77428e-07 0  0.345681 0.935227 0 
 6.60239e-07 2.81551e-07 0  0.339761 0.937387 0 
 6.66173e-07 2.85712e-07 0  0.333827 0.939509 0 
 6.7212e-07 2.8991e-07 0  0.32788 0.941594 0 
 6.7808e-07 2.94146e-07 0  0.32192 0.943642 0 
 6.84053e-07 2.98419e-07 0  0.315947 0.945652 0 
 6.90038e-07 3.0273e-07 0  0.309962 0.947624 0 
 6.96036e-07 3.07078e-07 0  0.303964 0.949559 0 
 7.02045e-07 3.11465e-07 0  0.297955 0.951455 0 
 7.08067e-07 3.15889e-07 0  0.291933 0.953314 0 
